443,32,46,34,49,151,1,112,21,111
7,256,4,3,43,0,18,19,6,73
31,1,696,57,16,33,5,9,57,95
39,8,139,679,16,23,53,2,23,18
42,30,24,27,625,24,31,140,23,34
197,0,46,1,39,522,9,121,59,6
4,0,0,20,2,0,338,10,0,0
81,0,1,1,129,85,19,683,0,1
30,6,90,29,25,104,0,5,576,64
88,32,76,11,19,6,0,7,26,735
