test_fold,val_fold,test_acc,test_loss,val_best_acc
1,2,0.715922107674685,1.1327911873481102,0.6542792792792793
2,3,0.5867117117117117,1.369546570948192,0.5935135135135136
3,4,0.5275675675675676,1.2626131516078423,0.6383838383838384
4,5,0.604040404040404,1.228997456450616,0.6655982905982906
5,6,0.6047008547008547,1.1174585785328721,0.6415552855407047
6,7,0.6913730255164034,1.0210432822887714,0.6085918854415274
7,8,0.6778042959427207,0.8843993500426963,0.5843672456575683
8,9,0.5942928039702233,1.4391546676365228,0.6801470588235294
9,10,0.6703431372549019,1.1497358546162455,0.6941457586618877
10,1,0.7072879330943848,0.9323960047353197,0.6632302405498282
