test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,2,0.6357388316151202,1.1029405682855709,0.6103603603603603,1.0266429620927997
2,3,0.6295045045045045,1.112136303580233,0.5772972972972973,1.0546453921084196
3,4,0.6075675675675676,1.2166133727557187,0.5777777777777777,1.2028215215090783
4,5,0.5848484848484848,1.2824450274628978,0.5470085470085471,1.2000912105254198
5,6,0.6292735042735043,1.0730293675925646,0.5953827460510328,1.1792442185374408
6,7,0.488456865127582,1.3180639328291783,0.5620525059665871,1.3131994582572073
7,8,0.6324582338902148,1.0761696850916125,0.6662531017369727,1.1730243771099578
8,9,0.6253101736972705,1.3420540231700038,0.7254901960784313,1.0986775867823584
9,10,0.5735294117647058,1.22784628266213,0.6248506571087217,1.0094823657341723
10,1,0.5770609318996416,1.1511731686175994,0.6586483390607102,1.015703604302623
