test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,10,0.6380297823596792,1.1380698652430015,0.6941457586618877,0.9061122115631148
2,1,0.5664414414414415,1.1221254616975784,0.6265750286368843,1.0224017530679703
3,2,0.5318918918918919,1.3831149303386439,0.5855855855855856,1.1293832534658057
4,3,0.5727272727272728,1.2496174427290117,0.5891891891891892,1.182502786628902
5,4,0.6282051282051282,1.0530981593844244,0.6474747474747474,1.1154598785984902
6,5,0.6136087484811664,1.0793833119364886,0.5961538461538461,1.0748785355333554
7,6,0.5465393794749404,1.2622095953743413,0.5868772782503038,1.162864020667397
8,7,0.6017369727047146,1.2425187259328132,0.6933174224343676,0.9007267547103593
9,8,0.5747549019607843,1.2944017056302697,0.6029776674937966,1.3308027538598752
10,9,0.6224611708482676,1.0171161460567195,0.6727941176470589,1.0749116810951747
