epoch,train_acc,train_loss,val_acc,val_loss
1,0.3041868413557391,1.9044626619929876,0.37753882915173237,1.548565556418221
2,0.4386214753631444,1.5095074345147692,0.45161290322580644,1.3319067434882217
3,0.4851894047279977,1.3755591424831226,0.5376344086021505,1.2921595499622371
4,0.5378809455995442,1.2745152858503859,0.48148148148148145,1.2704615171225566
5,0.5778980347479351,1.1758357313607983,0.47192353643966545,1.4029539600014687
6,0.6105098262603247,1.1258553612748148,0.5161290322580645,1.2171529595441413
7,0.6246083736827115,1.0729999223168185,0.5376344086021505,1.2014369267337728
8,0.6434064369125605,1.0222700865502239,0.6224611708482676,1.0482406732186955
9,0.6583594417544859,0.9984513952275886,0.6989247311827957,0.947879590164378
10,0.6669040159498718,0.9635117757293249,0.6308243727598566,0.9767860459023208
11,0.6775847336941042,0.9338318035515675,0.7562724014336918,0.784304555769096
12,0.6970948447735688,0.8890689288293582,0.7383512544802867,0.8123715105159033
13,0.7076331529478781,0.8677914395147684,0.7479091995221028,0.7546488897664085
14,0.707490743377955,0.8492891442259787,0.4934289127837515,1.355076010883698
15,0.7164625462831102,0.829867804104755,0.6511350059737157,1.08400502507487
16,0.7160353175733409,0.8339952036297131,0.7574671445639187,0.7922304659765566
17,0.7329820563941897,0.7900832391817098,0.7060931899641577,0.8187719092546206
18,0.7344061520934206,0.7814670044903331,0.5842293906810035,1.2031919893650513
19,0.7453716889774993,0.7638504424372132,0.7335722819593787,0.7854356492434645
20,0.7500712047849616,0.7620107352326291,0.6571087216248507,1.0269911255300888
21,0.7553403588721163,0.7418176201861649,0.6941457586618877,0.9933442404704556
22,0.7580461407006551,0.7277306585078359,0.6798088410991637,0.9643207481262749
23,0.7523497579037312,0.7369363439653349,0.7168458781362007,0.8988214982267171
24,0.7671603531757334,0.7014403990841129,0.6499402628434886,1.0070578250572753
25,0.7705781828538878,0.6977922462928268,0.7407407407407407,0.8658106363562973
