test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,2,0.579610538373425,1.7200884502465752,0.5461711711711712,1.3303049113601446
2,3,0.5112612612612613,1.7961813719677073,0.4908108108108108,1.373606179294915
3,4,0.5686486486486486,1.3929791618519913,0.5959595959595959,1.3946361884234413
4,5,0.5898989898989899,1.6541401187498723,0.6399572649572649,1.1139173714791315
5,6,0.6923076923076923,1.351434108422343,0.6439854191980559,1.0705266603483603
6,7,0.5844471445929527,1.2911714325085855,0.5727923627684964,1.2242330304294262
7,8,0.5704057279236276,1.2556187800079022,0.6637717121588089,1.1727838530296497
8,9,0.6352357320099256,1.4230737951310242,0.6004901960784313,1.3972651587397444
9,10,0.6225490196078431,1.4894149247534099,0.6176821983273596,1.3605239620115959
10,1,0.6272401433691757,1.3844906085188378,0.5899198167239404,1.366874480789358
