test_fold,val_fold,test_acc,test_loss,val_best_acc
1,2,0.581901489117984,1.2401442783800039,0.5608108108108109
2,3,0.509009009009009,1.246497375092336,0.518918918918919
3,4,0.49945945945945946,1.3197861221329918,0.5212121212121212
4,5,0.5646464646464646,1.3401374768826269,0.5651709401709402
5,6,0.5790598290598291,1.2395527525726011,0.5990279465370595
6,7,0.6172539489671932,1.1695091214317541,0.6145584725536993
7,8,0.4701670644391408,1.462899482475137,0.5558312655086849
8,9,0.5099255583126551,1.5159542630700504,0.6115196078431373
9,10,0.5612745098039216,1.244211402557352,0.6057347670250897
10,1,0.6152927120669056,1.1143110990524292,0.6323024054982818
