test_fold,val_fold,test_acc,test_loss,val_best_acc,val_best_loss
1,10,0.7010309278350515,1.0485378244265369,0.7945041816009558,0.6810243896533787
2,1,0.6801801801801802,0.9278194780594536,0.7640320733104238,0.7079896240516311
3,2,0.6583783783783784,0.9089483633830115,0.7533783783783784,0.6957056853321514
4,3,0.692929292929293,0.8953553993375071,0.6335135135135135,1.0027733100899334
5,4,0.6517094017094017,0.9670790627567192,0.6919191919191919,0.9509417794404491
6,5,0.7205346294046172,1.1387289905060942,0.7681623931623932,0.7095687056820587
7,6,0.6957040572792362,0.8978016805255188,0.7691373025516404,0.8466520645552709
8,7,0.6662531017369727,1.6355117338609098,0.7159904534606205,0.7480507830755329
9,8,0.7450980392156863,0.8994271670121188,0.7245657568238213,1.1077005334618484
10,9,0.7060931899641577,0.8339123947651319,0.7132352941176471,0.8546219868539814
