epoch,train_acc,train_loss,val_acc,val_loss
1,0.23910566790088295,2.087403642832554,0.36678614097968937,1.7831339476243504
2,0.35744802050697805,1.749551251428817,0.44205495818399043,1.4968167104811039
3,0.40529763600113927,1.5762980331864063,0.4922341696535245,1.3947775768783857
4,0.4614070065508402,1.4564316124742287,0.5209080047789725,1.241923694059534
5,0.5222158929080034,1.350502089378774,0.6391875746714456,1.1004913280595023
6,0.5552549131301624,1.2525117797840701,0.5209080047789725,1.3177224608524791
7,0.5663628595841641,1.2187905215185162,0.5686977299880526,1.1253672961918813
8,0.5881515237823982,1.168932416580261,0.6451612903225806,1.0343026621442921
9,0.6021076616348618,1.1274534689266753,0.6762246117084827,1.081810989188698
10,0.6194816291654799,1.1072853291767877,0.42054958183990443,1.6912507904025744
11,0.6191968100256338,1.0818356377388731,0.5364396654719236,1.2166127807126854
12,0.6367131871261749,1.0556457994467576,0.5758661887694145,1.1670504428868025
13,0.6401310168043293,1.019009367208546,0.5101553166069295,1.3567212228223962
14,0.6622045001424096,0.9790928351580418,0.5782556750298686,1.2117503348667666
15,0.6663343776701794,0.9843954877049613,0.5459976105137395,1.1189621816266258
