epoch,train_acc,train_loss,val_acc,val_loss
1,0.220450014240957,2.060626498677514,0.22939068100358423,1.8365442708686546
2,0.3185702079179721,1.7679671081629666,0.3548387096774194,1.5942274928092957
3,0.3864995727712902,1.596925445578315,0.47072879330943845,1.39445306636669
4,0.4185417260039875,1.5166882357814095,0.4432497013142174,1.4789181208169018
5,0.4628311022500712,1.4207382635636763,0.23894862604540024,2.291789924656903
6,0.48348048988892056,1.3745782873847268,0.42771804062126645,1.451561874744517
7,0.5008544574195386,1.3415340531956066,0.31780167264038234,2.0565516031864615
8,0.5380233551694674,1.2678922135721553,0.4540023894862604,1.5118250841343845
9,0.546140700655084,1.2476260973648592,0.48984468339307047,1.3298986995661701
10,0.5689262318427798,1.1930227612907236,0.34647550776583036,2.0617817552001387
11,0.5790373113073198,1.162241839007898,0.31780167264038234,2.375947603472957
12,0.5914269438906294,1.138427314975045,0.35722819593787336,2.0547418470184007
13,0.5898604386214754,1.1304948072541843,0.4336917562724014,1.7315091954337225
14,0.608088863571632,1.0778037052262912,0.17084826762246116,5.3187492644345316
15,0.6162062090572487,1.0830086426301435,0.5806451612903226,1.219106394107695
16,0.6187695813158645,1.0674158730290153,0.6367980884109916,1.0602778682002314
17,0.6277413842210197,1.049759261987426,0.3870967741935484,3.2809936086888665
18,0.6368555966960979,1.019319730455225,0.36200716845878134,2.2119652926921844
19,0.6425519794930219,1.0184935824437575,0.34886499402628435,2.412647678758259
20,0.645542580461407,1.0086491991173137,0.6810035842293907,0.9036173561105022
21,0.6567929364853318,0.9786351970650933,0.4432497013142174,1.7837048515125558
22,0.6664767872401025,0.951725745472041,0.4169653524492234,2.2870502560227006
23,0.658501851324409,0.9729791928421367,0.48028673835125446,1.6803916686524947
24,0.6726003987467958,0.9386702637780796,0.5244922341696535,1.7060369289549138
25,0.6810025633722586,0.9278595493598418,0.3751493428912784,2.3229587144321866
26,0.6771575049843349,0.9417918619784442,0.42771804062126645,2.4074826127401106
27,0.6771575049843349,0.916235262426463,0.4994026284348865,2.180192325954084
